thetacrank,Fx,Fy,sigmax1,sigmay1,tauxy1,sigma11,sigmax2,sigmay2,tauxy2,sigma12,sigmax3,sigmay3,tauxy3,sigma13,sigmax4,sigmay4,tauxy4,sigma14
3.5223917631158286,-47.053346152563236,-525.4071109348534,-846960.2307461384,-630488.5331218241,-47053.34615256323,-620703.1281182339,0.0,-597877.0572706952,-94106.69230512647,14462.67340331449,-2751657.6697405404,-492238.7133789293,-21.17400576865345,-492238.713180498,0.0,-583785.6788165038,-104562.99145014053,18163.36336604145
3.5541250222429985,-51.07303991811949,-528.3131444563174,-919314.7185261508,-633975.7733475809,-51073.039918119495,-625109.6599664987,0.0,-601183.9230020163,-102146.07983623898,16881.421548555372,-2986727.4805917838,-494961.2920648102,-22.98286796315377,-494961.2918528272,0.0,-587014.6049514639,-113495.64426248777,21179.522595064365
3.585858281370168,-55.11761847089015,-531.4899883638632,-992117.1324760228,-637787.9860366358,-55117.61847089015,-629412.1650829344,0.0,-604798.95227612,-110235.23694178031,19465.791687133547,-3223252.5421573194,-497937.5851623162,-24.802928311900565,-497937.58493658644,0.0,-590544.4315154036,-122483.59660197812,24396.226280324394
3.6175915404973376,-59.18947391809622,-534.9469900954665,-1065410.5305257319,-641936.3881145598,-59189.47391809621,-633819.0048612462,0.0,-608732.7818327721,-118378.94783619244,22210.51459021942,-3461372.7437483175,-501176.3500155086,-26.635263263143294,-501176.3497758496,0.0,-594385.5445505184,-131532.16426243604,27806.08022766048
3.649324799624507,-63.29110807239293,-538.694384672253,-1139239.9453030727,-646433.2616067036,-63291.108072392926,-638434.6159725089,0.0,-612997.0584201498,-126582.21614478585,25110.285286862752,-3701234.390198417,-504687.1755194087,-28.480998632576814,-504687.1752656449,0.0,-598549.3163025033,-140646.90682753985,31401.72959317622
3.6810580587516766,-67.42514157506932,-542.7433412340312,-1213652.548351248,-651292.0094808374,-67425.14157506931,-643320.9454657666,0.0,-617604.4917490698,-134850.28315013862,28159.80825445638,-3942990.735384171,-508480.5257177923,-30.341313708781186,-508480.5254497493,0.0,-603048.1569267013,-149833.6479445985,35175.92443174694
3.7127913178788465,-71.59432330212918,-547.1060145324283,-1288697.8194383252,-656527.2174389139,-71594.32330212918,-648520.4564606003,0.0,-622568.9130886252,-143188.64660425836,31353.83875037165,-4186802.532288257,-512567.78804561764,-32.21744548595813,-512567.7877631197,0.0,-607895.5717026981,-159098.49622695375,39121.57743487554
3.744524577006016,-75.80154007750929,-551.7956017924716,-1364427.7213951673,-662154.7221509661,-75801.54007750929,-654066.0627919845,0.0,-627905.3399707434,-151603.08015501857,34687.22002068121,-4432838.601023936,-516961.3266009955,-34.110693034879176,-516961.3263038618,0.0,-613106.2242138574,-168447.86683890954,43231.81379043212
3.7762578361331856,-80.04982671863884,-556.8264054018154,-1440896.8809354992,-668191.6864821784,-80049.82671863884,-659985.9177584129,0.0,-633630.0475262036,-160099.65343727768,38154.916249783186,-4681276.416294669,-521674.5408769105,-36.02242202338748,-521674.5405649538,0.0,-618696.0060020171,-177888.50381919742,47500.01331930759
3.8079910952603555,-84.34237644046888,-562.2139019402517,-1518162.77592844,-674656.6823283022,-84342.37644046888,-666305.9405508151,0.0,-639760.6470354587,-168684.75288093777,41752.04122346779,-4932302.715816894,-526721.9304329726,-37.95406939821099,-526721.9301059982,0.0,-624682.1132669464,-187427.50320104195,51919.8452144895
