step,Fx,Fy
146.0,-212.97363779909543,-870.851351737498
147.0,-220.14534754110323,-896.3200186604391
148.0,-227.54608007014247,-923.4793783978924
149.0,-235.18910104566265,-952.457975740752
150.0,-243.08830125222948,-983.3960641294975
151.0,-251.25820200610957,-1016.4468041458052
152.0,-259.71395395199994,-1051.7775940846927
153.0,-268.47132731973284,-1089.5715469783472
154.0,-277.5466912604843,-1130.0291297016556
155.0,-286.9569793337993,-1173.369981025928
156.0,-296.71963755004623,-1219.8349266384928
157.0,-306.8525505635501,-1269.688210120818
158.0,-317.3739406306444,-1323.219959549002
159.0,-328.3022327605415,-1380.748909570235
160.0,-339.65587805550047,-1442.6253982734106
161.0,-351.453125515063,-1509.2346565804964
162.0,-363.7117305154518,-1581.0004047903867
163.0,-376.4485857129266,-1658.388765711824
164.0,-389.6792571978228,-1741.9124957330407
165.0,-403.4174052823469,-1832.1355231476857
166.0,-417.6740652821171,-1929.6777657221198
167.0,-432.4567590036348,-2035.2201750756228
168.0,-447.7684023589661,-2149.509921675594
169.0,-463.6059686228336,-2273.3655882337807
170.0,-479.95886043299004,-2407.6821774068885
171.0,-496.8069369417168,-2553.4356575003003
172.0,-514.1181359718307,-2711.686661987315
173.0,-531.8456253080433,-2883.582818836888
174.0,-549.9244134545006,-3070.3590069171846
175.0,-568.2673499566758,-3273.334611864492
176.0,-586.7604511184862,-3493.906576152056
177.0,-605.2575020292675,-3733.5367032702216
178.0,-623.5739148773155,-3993.731284426223
179.0,-641.4798726627891,-4276.010677508411
180.0,-658.692864314993,-4581.866006899656
181.0,-674.8698309819791,-4912.699717413398
182.0,-689.59930378014,-5269.74638929602
183.0,-702.3941296817998,-5653.970134897334
184.0,-712.6856599229361,-6065.935243190729
185.0,-719.8206113043628,-6505.647777150059
186.0,-723.0621864363826,-6972.367887382273
187.0,-721.5974108165199,-7464.396044394483
188.0,-714.5529338307157,-7978.841533538167
189.0,-701.0216250948502,-8511.388549064643
190.0,-680.1020114713414,-9056.083834627862
191.0,-650.9517522955921,-9605.179173777984
192.0,-612.8547689638405,-10149.070372243423
193.0,-565.2992568589797,-10676.37893967371
194.0,-508.06074446520506,-11174.21997363911
195.0,-441.28106612624464,-11628.686327397825
196.0,-365.5313687257971,-12025.55301772376
197.0,-281.846116748338,-12351.168212050978
198.0,-191.7165001435002,-12593.453792416267
199.0,-97.0362230502407,-12742.89969053098
200.0,-0.0,-12793.414403761311
201.0,0.0,-453775.412795694
202.0,3441.821767128269,-451983.6835414919
203.0,6800.079419516445,-446682.9192601685
204.0,9996.927632918614,-438089.18221899366
205.0,12965.197757103593,-426539.78933956317
206.0,15651.998100013752,-412463.1448610927
207.0,18020.636772088365,-396343.4718191576
208.0,20050.85550569408,-378685.3225898283
209.0,21737.62351422107,-359981.9760628799
210.0,23088.902679582407,-340690.4526813628
211.0,24122.84643166496,-321214.3412756563
212.0,24864.853686956754,-301894.29736449744
213.0,25344.801808192624,-283005.1459482341
214.0,25594.665554591964,-264758.04577391123
215.0,25646.620344812378,-247306.07611132687
216.0,25531.643447542378,-230751.76902826928
217.0,25278.57062380663,-215155.40590646083
218.0,24913.53567409834,-200543.22879928432
219.0,24459.710196243792,-186915.02265637385
220.0,23937.26385093664,-174250.7724564243
221.0,23363.47568966708,-162516.2816616161
222.0,22752.940288723985,-151667.76038574256
223.0,22117.825757984352,-141655.46467820034
224.0,21468.152610633322,-132426.50517255405
225.0,20812.072329979248,-123926.95560591403
226.0,20156.132144761497,-116103.3886528794
227.0,19505.518217902816,-108903.9549430373
228.0,18864.273488771432,-102279.10569078218
229.0,18235.48913633105,-96182.04300910495
230.0,17621.470373398817,-90568.9664198467
231.0,17023.878313040474,-85399.17018653243
232.0,16443.850183147653,-80635.03421987317
233.0,15882.100368574842,-76241.94145778747
234.0,15339.004751965787,-72188.1466454759
235.0,14814.670689610963,-68444.61510179694
236.0,14308.9947557037,-64984.84509886335
237.0,13821.710155880919,-61784.68365511933
238.0,13352.425473532385,-58822.142626395085
239.0,12900.656184854148,-56077.219784500514
240.0,12465.850169134423,-53531.72794074687
241.0,12047.408253093448,-51169.13397400824
242.0,11644.700663246156,-48974.40875699537
243.0,11257.080117558415,-46933.88835957018
244.0,10883.892165522988,-45035.146481302785
245.0,10524.483282138895,-43266.87777855831
246.0,10178.207133938913,-41618.79156713432
