Time,X [N],Y [N],Z [N]
200,0.0,0.0,0.0
201,1717.5458660113568,0.0,0.0
202,3424.666569340683,0.0,0.0
203,5111.117348907385,0.0,0.0
204,6767.008084113379,0.0,0.0
205,8382.965555577537,0.0,0.0
206,9950.278580036402,0.0,0.0
207,11461.02180173493,0.0,0.0
208,12908.15504227654,0.0,0.0
209,14285.596333922515,0.0,0.0
210,15588.26799868213,0.0,0.0
211,16812.116306163025,0.0,0.0
212,17954.106277662733,0.0,0.0
213,19012.194051538823,0.0,0.0
214,19985.279855325974,0.0,0.0
215,20873.145032786488,0.0,0.0
216,21676.376756935497,0.0,0.0
217,22396.28404514341,0.0,0.0
218,23034.808511911462,0.0,0.0
219,23594.43298666463,0.0,0.0
220,24078.090727123403,0.0,0.0
221,24489.077511056028,0.0,0.0
222,24830.96842353042,0.0,0.0
223,25107.54070055869,0.0,0.0
224,25322.703564179643,0.0,0.0
225,25480.43560297602,0.0,0.0
226,25584.729924386367,0.0,0.0
227,25639.547034657055,0.0,0.0
228,25648.775188347663,0.0,0.0
229,25616.19778885916,0.0,0.0
230,25545.467309067197,0.0,0.0
231,25440.085130521926,0.0,0.0
232,25303.38666392628,0.0,0.0
233,25138.531105956852,0.0,0.0
234,24948.495201568883,0.0,0.0
235,24736.070411034987,0.0,0.0
236,24503.862922130647,0.0,0.0
237,24254.295995993445,0.0,0.0
238,23989.61418690821,0.0,0.0
239,23711.889028935893,0.0,0.0
240,23423.025834045668,0.0,0.0
241,23124.77129570791,0.0,0.0
242,22818.721637900704,0.0,0.0
243,22506.33109153964,0.0,0.0
244,22188.920518219362,0.0,0.0
245,21867.686034746708,0.0,0.0
246,21543.707521399414,0.0,0.0
247,21217.956922323054,0.0,0.0
248,20891.306268286145,0.0,0.0
249,20564.53537048294,0.0,0.0
250,20238.339149513093,0.0,0.0
251,19913.334576453075,0.0,0.0
252,19590.067213377733,0.0,0.0
253,19269.017349103662,0.0,0.0
254,18950.60573260806,0.0,0.0
255,18635.198911777323,0.0,0.0
256,18323.114189094682,0.0,0.0
257,18014.624208795307,0.0,0.0
258,17709.96119207983,0.0,0.0
259,17409.320838332213,0.0,0.0
260,17112.86591108247,0.0,0.0
261,16820.72952779037,0.0,0.0
262,16533.018172504555,0.0,0.0
263,16249.81445015648,0.0,0.0
264,15971.179600740346,0.0,0.0
265,15697.15579096883,0.0,0.0
266,15427.768200223387,0.0,0.0
267,15163.02691677637,0.0,0.0
268,14902.928659375542,0.0,0.0
269,14647.458338374503,0.0,0.0
270,14396.590469689021,0.0,0.0
271,14150.29045396186,0.0,0.0
272,13908.51573244979,0.0,0.0
273,13671.216830306932,0.0,0.0
274,13438.33829713325,0.0,0.0
275,13209.819553898036,0.0,0.0
276,12985.595654623636,0.0,0.0
277,12765.59797053942,0.0,0.0
278,12549.754803783555,0.0,0.0
279,12337.991937135374,0.0,0.0
280,12130.233125715316,0.0,0.0
281,11926.400536078196,0.0,0.0
282,11726.415137655107,0.0,0.0
283,11530.197051065486,0.0,0.0
284,11337.665857419212,0.0,0.0
285,11148.740872363158,0.0,0.0
286,10963.341388286484,0.0,0.0
287,10781.386887791843,0.0,0.0
288,10602.797231255232,0.0,0.0
289,10427.492821037933,0.0,0.0
290,10255.394744678677,0.0,0.0
291,10086.424899177058,0.0,0.0
292,9920.50609828293,0.0,0.0
293,9757.562164526656,0.0,0.0
294,9597.5180075621,0.0,0.0
295,9440.299690245369,0.0,0.0
296,9285.83448373644,0.0,0.0
297,9134.050912789471,0.0,0.0
298,8984.878792283664,0.0,0.0
299,8838.24925594689,0.0,0.0
300,8694.094778131112,0.0,0.0
301,8552.349189415381,0.0,0.0
302,8412.947686736397,0.0,0.0
303,8275.826838677614,0.0,0.0
304,8140.924586485439,0.0,0.0
305,8008.18024132494,0.0,0.0
306,7877.5344782358925,0.0,0.0
307,7748.929327203397,0.0,0.0
308,7622.308161716536,0.0,0.0
309,7497.615685148129,0.0,0.0
310,7374.797915257252,0.0,0.0
311,7253.802167082327,0.0,0.0
312,7134.577034466109,0.0,0.0
313,7017.0723704279635,0.0,0.0
314,6901.239266575736,0.0,0.0
315,6787.030031728547,0.0,0.0
316,6674.39816990395,0.0,0.0
317,6563.298357804755,0.0,0.0
318,6453.686421926315,0.0,0.0
319,6345.519315391427,0.0,0.0
320,6238.7550946066485,0.0,0.0
321,6133.352895823995,0.0,0.0
322,6029.272911680373,0.0,0.0
323,5926.476367779423,0.0,0.0
324,5824.9254993715,0.0,0.0
325,5724.5835281803365,0.0,0.0
326,5625.41463941848,0.0,0.0
327,5527.383959027623,0.0,0.0
328,5430.457531174693,0.0,0.0
329,5334.60229602978,0.0,0.0
330,5239.786067847928,0.0,0.0
331,5145.977513372532,0.0,0.0
332,5053.146130575681,0.0,0.0
333,4961.262227746676,0.0,0.0
334,4870.296902937902,0.0,0.0
335,4780.2220237751535,0.0,0.0
336,4691.010207636412,0.0,0.0
337,4602.634802202565,0.0,0.0
338,4515.069866380514,0.0,0.0
339,4428.29015159892,0.0,0.0
340,4342.271083474913,0.0,0.0
341,4256.988743848958,0.0,0.0
342,4172.419853184474,0.0,0.0
343,4088.5417533278596,0.0,0.0
344,4005.3323906238634,0.0,0.0
345,3922.770299380178,0.0,0.0
346,3840.834585675667,0.0,0.0
347,3759.5049115052284,0.0,0.0
348,3678.761479254399,0.0,0.0
349,3598.5850164963695,0.0,0.0
350,3518.956761103946,0.0,0.0
351,3439.8584466688494,0.0,0.0
352,3361.272288220693,0.0,0.0
353,3283.1809682368794,0.0,0.0
354,3205.5676229369137,0.0,0.0
355,3128.4158288517374,0.0,0.0
356,3051.7095896608503,0.0,0.0
357,2975.433323289173,0.0,0.0
358,2899.571849255379,0.0,0.0
359,2824.110376264425,0.0,0.0
360,2749.034490035788,0.0,0.0
361,2674.3301413601134,0.0,0.0
362,2599.9836343767793,0.0,0.0
363,2525.9816150644183,0.0,0.0
364,2452.311059937396,0.0,0.0
365,2378.9592649408614,0.0,0.0
366,2305.9138345369975,0.0,0.0
367,2233.162670975659,0.0,0.0
368,2160.6939637427977,0.0,0.0
369,2088.496179178868,0.0,0.0
370,2016.558050261741,0.0,0.0
371,1944.8685665468613,0.0,0.0
372,1873.4169642586196,0.0,0.0
373,1802.1927165261798,0.0,0.0
374,1731.1855237583654,0.0,0.0
375,1660.3853041504715,0.0,0.0
376,1589.7821843184265,0.0,0.0
377,1519.3664900534397,0.0,0.0
378,1449.1287371913465,0.0,0.0
379,1379.059622592433,0.0,0.0
380,1309.1500152242481,0.0,0.0
381,1239.390947343893,0.0,0.0
382,1169.773605772897,0.0,0.0
383,1100.2893232608587,0.0,0.0
384,1030.929569931383,0.0,0.0
385,961.685944806336,0.0,0.0
386,892.5501674032009,0.0,0.0
387,823.514069399687,0.0,0.0
388,754.5695863624504,0.0,0.0
389,685.7087495338156,0.0,0.0
390,616.9236776717286,0.0,0.0
391,548.2065689395836,0.0,0.0
392,479.5496928400974,0.0,0.0
393,410.94538218871793,0.0,0.0
394,342.38602512305636,0.0,0.0
395,273.86405714210963,0.0,0.0
396,205.371953173202,0.0,0.0
397,136.90221965991023,0.0,0.0
398,68.44738666679632,0.0,0.0
399,0.0,0.0,0.0
